,country,continent,population,day,time,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
207,Togo,Africa,8680837.0,2025-07-28,2025-07-28 16:15:07+00:00,1,,39572,39281,4559,33,290,93908,815204
208,Tokelau,Oceania,1378.0,2025-07-28,2025-07-28 16:15:09+00:00,80,,80,,58055,,,,
209,Tonga,Oceania,107749.0,2025-07-28,2025-07-28 16:15:07+00:00,1299,,16950,15638,157310,121,13,4965327,535009
210,Trinidad-and-Tobago,North-America,1406585.0,2025-07-28,2025-07-28 16:15:06+00:00,28,,191496,187078,136143,3121,4390,649295,913289
211,Tunisia,Africa,12046656.0,2025-07-28,2025-07-28 16:15:04+00:00,,,1153361,,95741,2442,29423,416164,5013383
212,Turkey,Asia,85561976.0,2025-07-28,2025-07-28 16:15:03+00:00,,,17232066,,201399,1194,102174,1902052,162743369
213,Turks-and-Caicos,North-America,39741.0,2025-07-28,2025-07-28 16:15:08+00:00,3,4,6752,6709,169900,1007,40,15520193,616788
214,Tuvalu,Oceania,12066.0,2025-07-28,2025-07-28 16:15:08+00:00,,,2943,,243909,83,1,,
215,UAE,Asia,10081785.0,2025-07-28,2025-07-28 16:15:04+00:00,,,1067030,,105837,233,2349,19910389,200732262
216,Uganda,Africa,48432863.0,2025-07-28,2025-07-28 16:15:06+00:00,68086,,172149,100431,3554,75,3632,62198,3012408
217,UK,Europe,68497907.0,2025-07-28,2025-07-28 16:15:02+00:00,0,,24910387,24678275,363666,3389,232112,7628357,522526476
218,Ukraine,Europe,43192122.0,2025-07-28,2025-07-28 16:15:03+00:00,0,,5557995,5445577,128681,2603,112418,754855,32603805
219,Uruguay,South-America,3496016.0,2025-07-28,2025-07-28 16:15:04+00:00,2503,18,1041111,1030944,297799,2192,7664,1749083,6114822
220,USA,North-America,334805269.0,2025-07-28,2025-07-28 16:15:02+00:00,786167,940,111820082,109814428,333985,3642,1219487,3544901,1186851502
221,Uzbekistan,Asia,34382084.0,2025-07-28,2025-07-28 16:15:05+00:00,10539,23,253662,241486,7378,48,1637,40077,1377915
222,Vanuatu,Oceania,321832.0,2025-07-28,2025-07-28 16:15:08+00:00,29,,12019,11976,37346,44,14,77606,24976
223,Vatican-City,Europe,799.0,2025-07-28,2025-07-28 16:15:09+00:00,0,,29,29,36295,,,,
224,Venezuela,South-America,29266991.0,2025-07-28,2025-07-28 16:15:05+00:00,302,31,552695,546537,18885,200,5856,114771,3359014
225,Vietnam,Asia,98953541.0,2025-07-28,2025-07-28 16:15:03+00:00,941018,,11625195,10640971,117481,437,43206,867342,85826548
226,Wallis-and-Futuna,Oceania,10982.0,2025-07-28,2025-07-28 16:15:08+00:00,3104,,3550,438,323256,728,8,1867419,20508
227,Western-Sahara,Africa,626161.0,2025-07-28,2025-07-28 16:15:09+00:00,0,,10,9,16,2,1,,
228,Yemen,Asia,31154867.0,2025-07-28,2025-07-28 16:15:08+00:00,662,,11945,9124,383,69,2159,10579,329592
229,Zambia,Africa,19470234.0,2025-07-28,2025-07-28 16:15:05+00:00,3919,,349304,341316,17940,209,4069,211244,4112961
230,Zimbabwe,Africa,15331428.0,2025-07-28,2025-07-28 16:15:05+00:00,1731,12,266359,258888,17373,374,5740,164744,2525756
